elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,velocity x,velocity y
0.0858759880065918,0.0,0.0,0.0,0.0,-7.116844408817924e-16,-1.1324921984348299e-14,-6.725417778397503e-17,0.0,0.0,0.0,1733316563.3492942,-6.130689822056784e-16,-3.640771212785994e-18,-3.852667950038102e-17,-1.1324921984348299e-14,-6.725417778397503e-17
0.0858759880065918,0.0,0.0,0.0,0.0,-7.116844408817924e-16,-1.1324921984348299e-14,-6.725417778397503e-17,0.0,0.0,0.0,1733316563.3593235,-7.293363649766651e-16,-4.331236645657239e-18,-4.583319201753711e-17,-1.1324921984348299e-14,-6.725417778397503e-17
0.0959315299987793,0.0,0.0,0.0,0.0,-7.4876060823033e-16,-1.1914909231231126e-14,-7.075787663073324e-17,0.0,0.0,0.0,1733316563.3693078,-8.511124515030709e-16,-5.054416064449512e-18,-5.3485884279889256e-17,-1.1914909231231126e-14,-7.075787663073324e-17
0.10593533515930176,0.0,0.0,0.0,0.0,-7.810315047295348e-16,-1.2428431425833518e-14,-7.380747979097944e-17,0.0,0.0,0.0,1733316563.3793035,-9.776832904011014e-16,-5.806069597760256e-18,-6.143988992338928e-17,-1.2428431425833518e-14,-7.380747979097944e-17
0.11591148376464844,0.0,0.0,0.0,0.0,-8.091200172329939e-16,-1.287539885363835e-14,-7.6461842819658e-17,0.0,0.0,0.0,1733316563.3893259,-1.108427461416072e-15,-6.58250687951328e-18,-6.965615745516742e-17,-1.287539885363835e-14,-7.6461842819658e-17
0.13585972785949707,0.0,0.0,0.0,0.0,-8.548476202861093e-16,-1.3603055212471366e-14,-8.078310051408402e-17,0.0,0.0,0.0,1733316563.3992782,-1.2428040829954049e-15,-7.380515830736545e-18,-7.810069662155127e-17,-1.3603055212471366e-14,-7.877218474029821e-17
0.1456010341644287,0.0,0.0,0.0,0.0,-8.733692132876863e-16,-1.389778625569913e-14,-8.253338822046663e-17,0.0,0.0,0.0,1733316563.409032,-1.380342374131056e-15,-8.197300671523772e-18,-8.674392244998765e-17,-1.389778625569913e-14,-8.078310051408402e-17
0.15555262565612793,0.0,0.0,0.0,0.0,-8.894903678563037e-16,-1.4154319501137515e-14,-8.405683653310759e-17,0.0,0.0,0.0,1733316563.4189825,-1.5206325690314608e-15,-9.03042796690889e-18,-9.556008430591495e-17,-1.4154319501137515e-14,-8.405683653310759e-17
0.16569304466247559,0.0,0.0,0.0,0.0,-9.035221039022817e-16,-1.4377605009330274e-14,-8.53828401422546e-17,0.0,0.0,0.0,1733316563.4291277,-1.66331800929055e-15,-9.877779665424112e-18,-1.0452676894628784e-16,-1.4154319501137515e-14,-8.53828401422546e-17
0.16569304466247559,0.0,0.0,0.0,0.0,-9.035221039022817e-16,-1.4377605009330274e-14,-8.53828401422546e-17,0.0,0.0,0.0,1733316563.4392557,-1.8080882609452195e-15,-1.0737512224060179e-17,-1.136244679794739e-16,-1.4377605009330274e-14,-8.53828401422546e-17
0.18590283393859863,0.0,0.0,0.0,0.0,-9.26365523698546e-16,-1.4741109198644457e-14,-8.754154331300158e-17,0.0,0.0,0.0,1733316563.449324,-1.954673123591362e-15,-1.1608021030805209e-17,-1.2283620138418338e-16,-1.457195163688009e-14,-8.754154331300158e-17
0.18590283393859863,0.0,0.0,0.0,0.0,-9.26365523698546e-16,-1.4741109198644457e-14,-8.754154331300158e-17,0.0,0.0,0.0,1733316563.4593697,-2.1028374159438813e-15,-1.2487909438173494e-17,-1.3214718982194325e-16,-1.4741109198644457e-14,-8.754154331300158e-17
0.1959545612335205,0.0,0.0,0.0,0.0,-9.356180880978784e-16,-1.488834385366799e-14,-8.841591292513954e-17,0.0,0.0,0.0,1733316563.4694247,-2.2523764372102612e-15,-1.3375961810120381e-17,-1.4154456941926503e-16,-1.5016496550455775e-14,-8.841591292513954e-17
0.20601558685302734,0.0,0.0,0.0,0.0,-9.43671571481254e-16,-1.5016496550455775e-14,-8.917695879335772e-17,0.0,0.0,0.0,1733316563.4793267,-2.403112016689376e-15,-1.4271120062191354e-17,-1.5101714351525438e-16,-1.5016496550455775e-14,-8.917695879335772e-17
0.21592259407043457,0.0,0.0,0.0,0.0,-9.506811926362569e-16,-1.5128038931147905e-14,-8.983937164533509e-17,0.0,0.0,0.0,1733316563.4894266,-2.554889075359064e-15,-1.5172463242167358e-17,-1.6055516658378376e-16,-1.5128038931147905e-14,-8.983937164533509e-17
0.23606228828430176,0.0,0.0,0.0,0.0,-9.62092738139022e-16,-1.5309630936577966e-14,-9.091776370119802e-17,0.0,0.0,0.0,1733316563.4994767,-2.7075726330965377e-15,-1.6079189757145138e-17,-1.7015015616026844e-16,-1.5225125847562193e-14,-9.091776370119802e-17
0.24599933624267578,0.0,0.0,0.0,0.0,-9.667148910530703e-16,-1.5383182195519846e-14,-9.135456138674032e-17,0.0,0.0,0.0,1733316563.5094104,-2.8610452037757343e-15,-1.6990601904063394e-17,-1.797947291435307e-16,-1.5309630936577966e-14,-9.135456138674032e-17
0.25588178634643555,0.0,0.0,0.0,0.0,-9.707380857942914e-16,-1.5447200945673326e-14,-9.17347468311595e-17,0.0,0.0,0.0,1733316563.5193052,-3.0152045279711e-15,-1.790609240513839e-17,-1.894824593136368e-16,-1.5447200945673326e-14,-9.17347468311595e-17
0.265610933303833,0.0,0.0,0.0,0.0,-9.742397199982407e-16,-1.5502923855141397e-14,-9.206565878085011e-17,0.0,0.0,0.0,1733316563.5290425,-3.1699615995125873e-15,-1.8825132688364244e-17,-1.992077533160271e-16,-1.5447200945673326e-14,-9.17347468311595e-17
