elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw
0.032825469970703125,0.0,0.0,0.0,0.0,0.06905727088451385,0.002102397847920656,0.0,0.0,0.0,1733158407.7424357,-8.75540560409788e-17,-5.211217036903014e-19,-5.514515382966155e-18
0.032825469970703125,0.0,0.0,0.0,0.0,0.06905727088451385,0.002102397847920656,0.0,0.0,0.0,1733158407.7523177,-1.4915288591147236e-16,-8.877579124390573e-19,-9.394263623693738e-18
0.042580366134643555,0.0,0.0,0.0,0.0,-0.08884390443563461,-0.012026320211589336,0.0,0.0,0.0,1733158407.7621017,-2.2354145318211034e-16,-1.3305186326621339e-18,-1.4079562250392972e-17
0.0625762939453125,0.0,0.0,0.0,0.0,0.06417175382375717,-0.006242907140403986,0.0,0.0,0.0,1733158407.772285,-3.0906217625766116e-16,-1.8395379394215873e-18,-1.9466009940969214e-17
0.07241344451904297,0.0,0.0,0.0,0.0,0.11164503544569016,0.0014456429053097963,0.0,0.0,0.0,1733158407.7821362,-4.042723002167246e-16,-2.4062285560492105e-18,-2.5462736042848845e-17
0.07241344451904297,0.0,0.0,0.0,0.0,0.11164503544569016,0.0014456429053097963,0.0,0.0,0.0,1733158407.7922432,-5.079160547435512e-16,-3.0231161381687607e-18,-3.199064696474888e-17
0.09243106842041016,0.0,0.0,0.0,0.0,-0.10454025119543076,0.008422424085438251,0.0,0.0,0.0,1733158407.8021388,-6.189004204607495e-16,-3.683695034918715e-18,-3.8980899840409826e-17
0.10318589210510254,0.0,0.0,0.0,0.0,0.040791645646095276,-0.00783766619861126,0.0,0.0,0.0,1733158407.8128734,-7.362740360052024e-16,-4.382302743877249e-18,-4.637357400928325e-17
0.10318589210510254,0.0,0.0,0.0,0.0,0.040791645646095276,-0.00783766619861126,0.0,0.0,0.0,1733158407.8221824,-8.592088387991062e-16,-5.1140106369393985e-18,-5.4116514676607646e-17
0.1223137378692627,0.0,0.0,0.0,0.0,-0.10742077976465225,0.009458024054765701,0.0,0.0,0.0,1733158407.8320403,-9.86984085222485e-16,-5.874528848390772e-18,-6.216432643799792e-17
0.1223137378692627,0.0,0.0,0.0,0.0,-0.10742077976465225,0.009458024054765701,0.0,0.0,0.0,1733158407.842177,-1.1189724418108622e-15,-6.660123489722118e-18,-7.047749724573713e-17
0.1423797607421875,0.0,0.0,0.0,0.0,-0.06723874062299728,0.008801806718111038,0.0,0.0,0.0,1733158407.8521142,-1.254627879068112e-15,-7.467544593608644e-18,-7.902163591120313e-17
0.1524667739868164,0.0,0.0,0.0,0.0,-0.05206269398331642,0.006701858714222908,0.0,0.0,0.0,1733158407.8621888,-1.3934751342711008e-15,-8.293963396527801e-18,-8.776680842886631e-17
0.1623821258544922,0.0,0.0,0.0,0.0,0.15606184303760529,-0.006993384100496769,0.0,0.0,0.0,1733158407.8721297,-1.535100539920907e-15,-9.136917749704912e-18,-9.668696031433852e-17
0.1623821258544922,0.0,0.0,0.0,0.0,0.15606184303760529,-0.006993384100496769,0.0,0.0,0.0,1733158407.8820658,-1.6791440408494407e-15,-9.994264604935226e-18,-1.0575941380883935e-16
0.17232513427734375,0.0,0.0,0.0,0.0,-0.03514240309596062,0.0007516035693697631,0.0,0.0,0.0,1733158407.8926823,-1.8252922459287896e-15,-1.086413865836094e-17,-1.1496443024720688e-16
0.18295526504516602,0.0,0.0,0.0,0.0,0.007531574461609125,0.00485179154202342,0.0,0.0,0.0,1733158407.9025578,-1.9732723802962143e-15,-1.1744916354117005e-17,-1.2428482914409663e-16
0.1928577423095703,0.0,0.0,0.0,0.0,0.004052383359521627,-0.0049467491917312145,0.0,0.0,0.0,1733158407.9124193,-2.1228470213857402e-15,-1.263518455319342e-17,-1.3370565664755094e-16
0.20267796516418457,0.0,0.0,0.0,0.0,0.010278154164552689,0.009876579977571964,0.0,0.0,0.0,1733158407.9221838,-2.2738095171830738e-15,-1.3533713262890481e-17,-1.4321389696180576e-16
0.22292065620422363,0.0,0.0,0.0,0.0,0.06641517579555511,0.000719849718734622,0.0,0.0,0.0,1733158407.9326377,-2.4259799982860108e-15,-1.4439431900604056e-17,-1.5279822117041524e-16
0.232651948928833,0.0,0.0,0.0,0.0,0.019595917314291,0.002527358243241906,0.0,0.0,0.0,1733158407.9423776,-2.5792019068116773e-15,-1.5351408633882992e-17,-1.6244876861252063e-16
0.232651948928833,0.0,0.0,0.0,0.0,0.019595917314291,0.002527358243241906,0.0,0.0,0.0,1733158407.9524512,-2.733338975165977e-15,-1.6268832398066156e-17,-1.7215695659329516e-16
0.24272537231445312,0.0,0.0,0.0,0.0,-0.12775343656539917,-0.0006889635697007179,0.0,0.0,0.0,1733158407.9634533,-2.888272596371989e-15,-1.7190997244478222e-17,-1.8191531475638613e-16
0.26253342628479004,0.0,0.0,0.0,0.0,0.0025677653029561043,0.0009100789320655167,0.0,0.0,0.0,1733158407.9722602,-3.0438995352103096e-15,-1.8117288717137938e-17,-1.9171734092209769e-16
0.26253342628479004,0.0,0.0,0.0,0.0,0.0025677653029561043,0.0009100789320655167,0.0,0.0,0.0,1733158407.9821224,-3.200129936001263e-15,-1.9047171995078737e-17,-2.0155737560930225e-16
0.27237534523010254,0.0,0.0,0.0,0.0,-0.04303308203816414,0.0013238185783848166,0.0,0.0,0.0,1733158407.9923406,-3.3568855885834665e-15,-1.998018157145389e-17,-2.114304928196217e-16
