elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering
82.41790771484375,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.42815399169922,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.43888092041016,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.44863891601562,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.45867919921875,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.46871185302734,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.47862243652344,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.48848724365234,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.4984359741211,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.50879669189453,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.51852416992188,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.52876281738281,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.53898620605469,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.54884338378906,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.5587387084961,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.56878662109375,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.57891082763672,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.58876037597656,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.59893035888672,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.60875701904297,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.61919403076172,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.6289291381836,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.63905334472656,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.6483154296875,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.65885162353516,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.668701171875,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.67886352539062,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.68901824951172,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.69880676269531,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.70895385742188,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.71884155273438,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.72888946533203,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.73927307128906,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.74813079833984,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.75952911376953,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.7688217163086,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.77881622314453,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.78872680664062,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.7988510131836,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.80818176269531,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.81878662109375,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.82888793945312,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.83927154541016,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.84793090820312,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
82.85881805419922,0.0,0.0,0.0,0.0,-1.0095296536796966e-15,-1.60283197575984e-14,0.0,0.0,0.0
