elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw
0.02269887924194336,0.0,0.0,0.0,0.0,-1.3083753976767654e-16,-3.885395186197047e-15,0.0,0.0,0.0,1732809026.0498972,-4.064935960081894e-17,-2.4194497076393425e-19,-2.560264240888194e-18
0.032517433166503906,0.0,0.0,0.0,0.0,-2.4471819461537123e-16,-5.4591480973611734e-15,0.0,0.0,0.0,1732809026.0597298,-8.75540560409788e-17,-5.211217036903014e-19,-5.514515382966155e-18
0.042989253997802734,0.0,0.0,0.0,0.0,-3.4383965769918437e-16,-6.828938862958253e-15,0.0,0.0,0.0,1732809026.070166,-1.4915288591147236e-16,-8.877579124390573e-19,-9.394263623693738e-18
0.05262017250061035,0.0,0.0,0.0,0.0,-4.3011472793736316e-16,-8.021201263689725e-15,0.0,0.0,0.0,1732809026.0798237,-2.2354145318211034e-16,-1.3305186326621339e-18,-1.4079562250392972e-17
0.06261372566223145,0.0,0.0,0.0,0.0,-5.052083015272951e-16,-9.058943679018331e-15,0.0,0.0,0.0,1732809026.0898206,-3.0906217625766116e-16,-1.8395379394215873e-18,-1.9466009940969214e-17
0.07264494895935059,0.0,0.0,0.0,0.0,-5.705695989021732e-16,-9.962191661883057e-15,0.0,0.0,0.0,1732809026.0998518,-4.042723002167246e-16,-2.4062285560492105e-18,-2.5462736042848845e-17
0.07264494895935059,0.0,0.0,0.0,0.0,-5.705695989021732e-16,-9.962191661883057e-15,0.0,0.0,0.0,1732809026.1097612,-5.079160547435512e-16,-3.0231161381687607e-18,-3.199064696474888e-17
0.08255219459533691,0.0,0.0,0.0,0.0,-6.274599315297979e-16,-1.0748377150338398e-14,0.0,0.0,0.0,1732809026.119791,-6.189004204607495e-16,-3.683695034918715e-18,-3.8980899840409826e-17
0.10256171226501465,0.0,0.0,0.0,0.0,-7.200767374440696e-16,-1.2028277814957536e-14,0.0,0.0,0.0,1732809026.1297696,-7.362740360052024e-16,-4.382302743877249e-18,-4.637357400928325e-17
0.10256171226501465,0.0,0.0,0.0,0.0,-7.200767374440696e-16,-1.2028277814957536e-14,0.0,0.0,0.0,1732809026.1397982,-8.592088387991062e-16,-5.1140106369393985e-18,-5.4116514676607646e-17
0.11259126663208008,0.0,0.0,0.0,0.0,-7.575905561285417e-16,-1.2546693318896216e-14,0.0,0.0,0.0,1732809026.1497643,-9.86984085222485e-16,-5.874528848390772e-18,-6.216432643799792e-17
0.13255643844604492,0.0,0.0,0.0,0.0,-8.186626374772016e-16,-1.3390667630177981e-14,0.0,0.0,0.0,1732809026.159771,-1.1189724418108622e-15,-6.660123489722118e-18,-7.047749724573713e-17
0.13255643844604492,0.0,0.0,0.0,0.0,-8.186626374772016e-16,-1.3390667630177981e-14,0.0,0.0,0.0,1732809026.1697776,-1.254627879068112e-15,-7.467544593608644e-18,-7.902163591120313e-17
0.15263772010803223,0.0,0.0,0.0,0.0,-8.649303299133101e-16,-1.4030055532610573e-14,0.0,0.0,0.0,1732809026.1798425,-1.3934751342711008e-15,-8.293963396527801e-18,-8.776680842886631e-17
0.1625206470489502,0.0,0.0,0.0,0.0,-8.836707750526339e-16,-1.4289035856233576e-14,0.0,0.0,0.0,1732809026.1897364,-1.535100539920907e-15,-9.136917749704912e-18,-9.668696031433852e-17
0.1625206470489502,0.0,0.0,0.0,0.0,-8.836707750526339e-16,-1.4289035856233576e-14,0.0,0.0,0.0,1732809026.1997783,-1.6791440408494407e-15,-9.994264604935226e-18,-1.0575941380883935e-16
0.18256783485412598,0.0,0.0,0.0,0.0,-9.141800018402273e-16,-1.4710651587927087e-14,0.0,0.0,0.0,1732809026.2097776,-1.8252922459287896e-15,-1.086413865836094e-17,-1.1496443024720688e-16
0.18256783485412598,0.0,0.0,0.0,0.0,-9.141800018402273e-16,-1.4710651587927087e-14,0.0,0.0,0.0,1732809026.2199416,-1.9732723802962143e-15,-1.1744916354117005e-17,-1.2428482914409663e-16
0.20258855819702148,0.0,0.0,0.0,0.0,-9.372935192675474e-16,-1.503006601827079e-14,0.0,0.0,0.0,1732809026.2297993,-2.1228470213857402e-15,-1.263518455319342e-17,-1.3370565664755094e-16
0.21260833740234375,0.0,0.0,0.0,0.0,-9.46655456796194e-16,-1.515944183063441e-14,0.0,0.0,0.0,1732809026.2398133,-2.2738095171830738e-15,-1.3533713262890481e-17,-1.4321389696180576e-16
0.21260833740234375,0.0,0.0,0.0,0.0,-9.46655456796194e-16,-1.515944183063441e-14,0.0,0.0,0.0,1732809026.2501097,-2.4259799982860108e-15,-1.4439431900604056e-17,-1.5279822117041524e-16
0.22295045852661133,0.0,0.0,0.0,0.0,-9.548041255070172e-16,-1.5272049778774187e-14,0.0,0.0,0.0,1732809026.2598605,-2.5792019068116773e-15,-1.5351408633882992e-17,-1.6244876861252063e-16
0.23265743255615234,0.0,0.0,0.0,0.0,-9.618966500117327e-16,-1.5370065043298665e-14,0.0,0.0,0.0,1732809026.269838,-2.733338975165977e-15,-1.6268832398066156e-17,-1.7215695659329516e-16
0.24264097213745117,0.0,0.0,0.0,0.0,-9.680700378895588e-16,-1.5455376507680224e-14,0.0,0.0,0.0,1732809026.2801785,-2.888272596371989e-15,-1.7190997244478222e-17,-1.8191531475638613e-16
0.2530090808868408,0.0,0.0,0.0,0.0,-9.734432972695849e-16,-1.5529630803968325e-14,0.0,0.0,0.0,1732809026.2901514,-3.0438995352103096e-15,-1.8117288717137938e-17,-1.9171734092209769e-16
